,SPECIES,SITE,ID,SEX,TREAT,FWL,BUT_WT,REL_DATE,COND_0,RECAP_DATE,NRECAP,BEH,TIME,NOTEBOOK
314,Pontia_occidentalis,Corfu_WA,371,F,U,2,0.74,1993-07-06,2,187,0,NA,NA,Corfu.CutWings.1993_2
315,Pontia_occidentalis,Corfu_WA,372,M,U,2.2,0.61,1993-07-06,3,187,0,NA,NA,Corfu.CutWings.1993_2
316,Pontia_occidentalis,Corfu_WA,373,M,U,2.4,0.76,1993-07-06,1,187,0,NA,NA,Corfu.CutWings.1993_2
317,Pontia_occidentalis,Corfu_WA,374,F,U,2.6,0.91,1993-07-06,2,187,0,NA,NA,Corfu.CutWings.1993_2
318,Pontia_occidentalis,Corfu_WA,375,M,U,2.5,0.6,1993-07-06,2,187,0,NA,NA,Corfu.CutWings.1993_2
319,Pontia_occidentalis,Corfu_WA,376,F,U,2.5,0.85,1993-07-06,2,187,0,NA,NA,Corfu.CutWings.1993_2
320,Pontia_occidentalis,Corfu_WA,377,M,U,2.5,0.75,1993-07-06,3,187,0,NA,NA,Corfu.CutWings.1993_2
321,Pontia_occidentalis,Corfu_WA,378,F,U,2.5,0.93,1993-07-06,2,187,0,NA,NA,Corfu.CutWings.1993_2
322,Pontia_occidentalis,Corfu_WA,379,F,U,2.2,0.68,1993-07-06,1,187,0,NA,NA,Corfu.CutWings.1993_2
323,Pontia_occidentalis,Corfu_WA,380,M,U,2.5,0.62,1993-07-06,2,187,0,NA,NA,Corfu.CutWings.1993_2
324,Pontia_occidentalis,Corfu_WA,381,F,U,2.7,0.76,1993-07-06,3,187,0,NA,NA,Corfu.CutWings.1993_2
325,Pontia_occidentalis,Corfu_WA,382,F,U,2.4,0.79,1993-07-06,2,187,0,NA,NA,Corfu.CutWings.1993_2
326,Pontia_occidentalis,Corfu_WA,383,F,U,2.3,0.57,1993-07-06,3,187,0,NA,NA,Corfu.CutWings.1993_2
327,Pontia_occidentalis,Corfu_WA,384,F,U,2.3,0.62,1993-07-06,1,187,0,NA,NA,Corfu.CutWings.1993_2
328,Pontia_occidentalis,Corfu_WA,385,F,U,2.4,0.74,1993-07-06,3,187,0,NA,NA,Corfu.CutWings.1993_2
329,Pontia_occidentalis,Corfu_WA,386,M,U,2.5,0.8,1993-07-06,2,187,0,NA,NA,Corfu.CutWings.1993_2
330,Pontia_occidentalis,Corfu_WA,387,M,U,2.4,0.63,1993-07-06,N/A,187,0,NA,NA,Corfu.CutWings.1993_2
331,Pontia_occidentalis,Corfu_WA,388,F,U,2.4,0.7,1993-07-06,1,187,0,NA,NA,Corfu.CutWings.1993_2
332,Pontia_occidentalis,Corfu_WA,389,M,U,2.2,0.5,1993-07-06,1,187,0,NA,NA,Corfu.CutWings.1993_2
333,Pontia_occidentalis,Corfu_WA,390,F,U,2.5,0.7,1993-07-06,2,187,0,NA,NA,Corfu.CutWings.1993_2
334,Pontia_occidentalis,Corfu_WA,391,M,U,2.6,0.78,1993-07-06,2,187,0,NA,NA,Corfu.CutWings.1993_2
335,Pontia_occidentalis,Corfu_WA,393,F,U,2.1,0.53,1993-07-06,3,187,0,NA,NA,Corfu.CutWings.1993_2
336,Pontia_occidentalis,Corfu_WA,394,M,U,2.3,0.61,1993-07-06,3,187,0,NA,NA,Corfu.CutWings.1993_2
337,Pontia_occidentalis,Corfu_WA,395,M,U,2.5,0.53,1993-07-06,3,187,0,NA,NA,Corfu.CutWings.1993_2
338,Pontia_occidentalis,Corfu_WA,396,F,U,2.2,0.61,1993-07-06,2,187,0,NA,NA,Corfu.CutWings.1993_2
339,Pontia_occidentalis,Corfu_WA,397,F,U,2.2,0.76,1993-07-06,2,187,0,NA,NA,Corfu.CutWings.1993_2
340,Pontia_occidentalis,Corfu_WA,399,F,U,2.5,0.93,1993-07-06,3,187,0,NA,NA,Corfu.CutWings.1993_2
341,Pontia_occidentalis,Corfu_WA,400,M,U,2.1,0.43,1993-07-06,1,187,0,NA,NA,Corfu.CutWings.1993_2
342,Pontia_occidentalis,Corfu_WA,401,F,U,2.3,0.62,1993-07-06,2,187,0,NA,NA,Corfu.CutWings.1993_2
343,Pontia_occidentalis,Corfu_WA,402,F,U,2.4,0.85,1993-07-06,3,187,0,NA,NA,Corfu.CutWings.1993_2
344,Pontia_occidentalis,Corfu_WA,403,F,U,2.5,0.86,1993-07-06,1,187,0,NA,NA,Corfu.CutWings.1993_2
345,Pontia_occidentalis,Corfu_WA,404,M,U,2.2,0.57,1993-07-06,1,187,0,NA,NA,Corfu.CutWings.1993_2
