,SPECIES,SITE,ID,SEX,TREAT,FWL,BUT_WT,REL_DATE,COND_0,RECAP_DATE,NRECAP,BEH,TIME,NOTEBOOK
1,Pontia_occidentalis,Corfu_WA,1,M,CUT,2.4,1.09,1993-05-23,1,143,0,NA,NA,Corfu.CutWings.1993_1
2,Pontia_occidentalis,Corfu_WA,2,M,CTL,2.6,1.18,1993-05-23,1,143,0,NA,NA,Corfu.CutWings.1993_1
3,Pontia_occidentalis,Corfu_WA,3,M,CUT,2.3,0.94,1993-05-23,1,143,0,NA,NA,Corfu.CutWings.1993_1
4,Pontia_occidentalis,Corfu_WA,4,M,CTL,2.2,0.6,1993-05-23,1,143,0,NA,NA,Corfu.CutWings.1993_1
5,Pontia_occidentalis,Corfu_WA,5,F,CUT,2,1.05,1993-05-23,1,143,0,NA,NA,Corfu.CutWings.1993_1
6,Pontia_occidentalis,Corfu_WA,6,F,CTL,2.6,1.26,1993-05-23,1,143,0,NA,NA,Corfu.CutWings.1993_1
7,Pontia_occidentalis,Corfu_WA,7,M,CUT,2,0.91,1993-05-23,1,143,0,NA,NA,Corfu.CutWings.1993_1
8,Pontia_occidentalis,Corfu_WA,8,M,CTL,2.5,0.78,1993-05-23,1,143,0,NA,NA,Corfu.CutWings.1993_1
9,Pontia_occidentalis,Corfu_WA,9,F,CUT,2,0.94,1993-05-23,1,143,0,NA,NA,Corfu.CutWings.1993_1
10,Pontia_occidentalis,Corfu_WA,10,F,CTL,2.5,1.03,1993-05-23,1,143,0,NA,NA,Corfu.CutWings.1993_1
11,Pontia_occidentalis,Corfu_WA,11,M,CUT,2.1,0.83,1993-05-23,1,143,0,NA,NA,Corfu.CutWings.1993_1
12,Pontia_occidentalis,Corfu_WA,12,M,CTL,2.4,0.71,1993-05-23,1,143,0,NA,NA,Corfu.CutWings.1993_1
13,Pontia_occidentalis,Corfu_WA,13,M,CUT,2.2,0.7,1993-05-23,1,143,0,NA,NA,Corfu.CutWings.1993_1
14,Pontia_occidentalis,Corfu_WA,14,M,CTL,2.4,0.56,1993-05-23,1,143,0,NA,NA,Corfu.CutWings.1993_1
15,Pontia_occidentalis,Corfu_WA,15,M,CUT,1.3,0.87,1993-05-23,1,143,0,NA,NA,Corfu.CutWings.1993_1
16,Pontia_occidentalis,Corfu_WA,17,M,CUT,1.7,0.82,1993-05-23,1,143,0,NA,NA,Corfu.CutWings.1993_1
17,Pontia_occidentalis,Corfu_WA,18,M,CTL,2.5,0.69,1993-05-23,1,143,0,NA,NA,Corfu.CutWings.1993_1
18,Pontia_occidentalis,Corfu_WA,19,M,CUT,2.2,0.72,1993-05-23,1,143,0,NA,NA,Corfu.CutWings.1993_1
19,Pontia_occidentalis,Corfu_WA,20,F,CTL,2.5,1.16,1993-05-23,1,143,0,NA,NA,Corfu.CutWings.1993_1
20,Pontia_occidentalis,Corfu_WA,21,M,CUT,2.1,0.7,1993-05-23,1,143,0,NA,NA,Corfu.CutWings.1993_1
21,Pontia_occidentalis,Corfu_WA,22,F,CTL,2.5,1.35,1993-05-23,1,143,0,NA,NA,Corfu.CutWings.1993_1
22,Pontia_occidentalis,Corfu_WA,23,F,CUT,2.1,0.88,1993-05-23,1,143,0,NA,NA,Corfu.CutWings.1993_1
23,Pontia_occidentalis,Corfu_WA,24,M,CTL,2.3,0.61,1993-05-23,1,143,0,NA,NA,Corfu.CutWings.1993_1
24,Pontia_occidentalis,Corfu_WA,25,F,CUT,2.4,1.28,1993-05-23,1,143,0,NA,NA,Corfu.CutWings.1993_1
25,Pontia_occidentalis,Corfu_WA,26,M,CTL,2.3,0.52,1993-05-23,1,143,0,NA,NA,Corfu.CutWings.1993_1
26,Pontia_occidentalis,Corfu_WA,27,M,CUT,2.1,0.83,1993-05-23,1,143,0,NA,NA,Corfu.CutWings.1993_1
27,Pontia_occidentalis,Corfu_WA,28,M,CTL,2.6,0.86,1993-05-23,1,143,0,NA,NA,Corfu.CutWings.1993_1
28,Pontia_occidentalis,Corfu_WA,29,M,CUT,2.1,0.77,1993-05-23,1,143,0,NA,NA,Corfu.CutWings.1993_1
