"SPECIES","SITE","ID","SEX","TREAT","REL_DATE","COND_0","CAPTIME_0","BEH_0","FWL","MEL_GRP","FDS","FT","FT6","FM2","FM6","FB","DS","HB","PV","AV","DV","FV","NOTEBOOK","NRECAP","RECAP_DATE"
"Pontia_occidentalis","Corfu_WA",21,"M","NatVar","6/21/89",1,1040,"F",2.365,3,0.287,0.254,0.275,0.386,0.148,0.599,0.142,0.452,0.329,0.309,0.4,0.438,"Corfu.NatVar.1989",1,174
"Pontia_occidentalis","Corfu_WA",6,"F","NatVar","6/21/89",1,952,"F",2.793,2,0.328,0.191,0.24,0.492,0.33,0.501,0.307,0.56,0.424,0.247,0.21,0.431,"Corfu.NatVar.1989",1,172
"Pontia_occidentalis","Corfu_WA",6,"F","NatVar","6/21/89",1,952,"F",2.793,2,0.328,0.191,0.24,0.492,0.33,0.501,0.307,0.56,0.424,0.247,0.21,0.431,"Corfu.NatVar.1989",2,174
"Pontia_occidentalis","Corfu_WA",6,"F","NatVar","6/21/89",1,952,"F",2.793,2,0.328,0.191,0.24,0.492,0.33,0.501,0.307,0.56,0.424,0.247,0.21,0.431,"Corfu.NatVar.1989",3,175
"Pontia_occidentalis","Corfu_WA",6,"F","NatVar","6/21/89",1,952,"F",2.793,2,0.328,0.191,0.24,0.492,0.33,0.501,0.307,0.56,0.424,0.247,0.21,0.431,"Corfu.NatVar.1989",4,177
"Pontia_occidentalis","Corfu_WA",6,"F","NatVar","6/21/89",1,952,"F",2.793,2,0.328,0.191,0.24,0.492,0.33,0.501,0.307,0.56,0.424,0.247,0.21,0.431,"Corfu.NatVar.1989",5,178
"Pontia_occidentalis","Corfu_WA",20,"M","NatVar","6/21/89",1,1033,"B",2.537,1,0.217,0.188,0.253,0.31,0.126,0.377,0.194,0.48,0.296,0.063,0.106,0.291,"Corfu.NatVar.1989",1,175
"Pontia_occidentalis","Corfu_WA",20,"M","NatVar","6/21/89",1,1033,"B",2.537,1,0.217,0.188,0.253,0.31,0.126,0.377,0.194,0.48,0.296,0.063,0.106,0.291,"Corfu.NatVar.1989",2,176
"Pontia_occidentalis","Corfu_WA",20,"M","NatVar","6/21/89",1,1033,"B",2.537,1,0.217,0.188,0.253,0.31,0.126,0.377,0.194,0.48,0.296,0.063,0.106,0.291,"Corfu.NatVar.1989",3,177
"Pontia_occidentalis","Corfu_WA",20,"M","NatVar","6/21/89",1,1033,"B",2.537,1,0.217,0.188,0.253,0.31,0.126,0.377,0.194,0.48,0.296,0.063,0.106,0.291,"Corfu.NatVar.1989",4,178
"Pontia_occidentalis","Corfu_WA",19,"F","NatVar","6/21/89",2,1038,"F",2.465,1,0.457,0.17,0.203,0.375,0.145,0.538,0.327,0.577,0.337,0.226,0.248,0.447,"Corfu.NatVar.1989",1,173
"Pontia_occidentalis","Corfu_WA",221,"M","NatVar","6/21/89",1,1252,"F",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corfu.NatVar.1989",1,173
"Pontia_occidentalis","Corfu_WA",146,"M","NatVar","6/21/89",2,1302,"F",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corfu.NatVar.1989",1,173
