"SPECIES","SITE","ID","SEX","TREAT","REL_DATE","COND_0","CAPTIME_0","BEH_0","FWL","MEL_GRP","FDS","FT","FT6","FM2","FM6","FB","DS","HB","PV","AV","DV","FV","NOTEBOOK","NRECAP","RECAP_DATE"
"Pontia_occidentalis","Corfu_WA",47,"M","NatVar","6/21/89",2,1058,"F",2.383,2,0.167,0.071,1.033,0.287,0.069,0.577,0.303,0.714,0.756,0.617,0.599,0.741,"Corfu.NatVar.1989",0,171
"Pontia_occidentalis","Corfu_WA",40,"M","NatVar","6/21/89",1,1034,"F",2.639,2,0.252,0.126,0.249,0.413,0.103,0.839,-0.027,0.701,0.572,0.429,0.427,0.466,"Corfu.NatVar.1989",0,171
"Pontia_occidentalis","Corfu_WA",46,"F","NatVar","6/21/89",2,1054,"F",2.354,2,0.232,0.093,0.19,0.532,0.32,0.606,0.476,-0.046,0.502,0.498,0.635,0.576,"Corfu.NatVar.1989",0,171
"Pontia_occidentalis","Corfu_WA",36,"F","NatVar","6/21/89",3,1006,"F",2.386,2,0.267,0.057,0.218,0.414,0.193,0.604,0.173,0.695,0.641,0.409,0.527,0.682,"Corfu.NatVar.1989",0,171
"Pontia_occidentalis","Corfu_WA",54,"F","NatVar","6/21/89",3,1151,"R",2.514,2,0.33,0.091,0.249,0.417,0.185,0.736,0.317,0.735,0.672,0.56,0.457,0.511,"Corfu.NatVar.1989",0,171
"Pontia_occidentalis","Corfu_WA",53,"F","NatVar","6/21/89",2,1145,"F",2.429,2,0.27,0.057,0.234,0.432,0.15,0.598,0.236,0.66,0.664,0.439,0.437,0.542,"Corfu.NatVar.1989",0,171
"Pontia_occidentalis","Corfu_WA",52,"M","NatVar","6/21/89",2,1136,"F",2.617,3,0.241,0.071,0.216,0.287,0.101,0.842,0.332,0.707,0.741,0.46,0.592,0.624,"Corfu.NatVar.1989",0,171
"Pontia_occidentalis","Corfu_WA",236,"M","NatVar","6/21/89",3,1241,"F",2.725,2,0.281,0.069,0.149,0.439,0.186,0.896,0.374,0.802,0.712,0.512,0.5,0.618,"Corfu.NatVar.1989",0,171
"Pontia_occidentalis","Corfu_WA",235,"M","NatVar","6/21/89",2,1238,"C",2.656,3,0.188,0.104,0.215,0.384,0.153,0.52,-0.047,0.57,0.646,0.52,0.527,0.676,"Corfu.NatVar.1989",0,171
"Pontia_occidentalis","Corfu_WA",234,"M","NatVar","6/21/89",3,1235,"N",2.521,2,0.236,0.071,0.13,0.474,0.143,0.706,0.382,0.756,0.525,0.33,0.24,0.394,"Corfu.NatVar.1989",0,171
"Pontia_occidentalis","Corfu_WA",41,"F","NatVar","6/21/89",3,1037,"F",2.678,1,0.229,0.091,0.238,0.43,0.129,0.255,-0.205,0.513,0.495,0.4,0.402,0.72,"Corfu.NatVar.1989",0,171
