RECNUM,ID,TREAT,SEX,FAM,FWL,AGE,WEAR,NRECAP,REL_DATE,COND_0,SPECIES,SITE,NOTEBOOK
1,15,SD,F,7,2.479358854,0,1,0,7/27/1992,1,Pontia_occidentalis,Corfu_WA,Corfu.1992_2
2,17,SD,F,7,NA,0,1,0,7/27/1992,1,Pontia_occidentalis,Corfu_WA,Corfu.1992_2
3,23,SD,F,7,2.496775252,0,1,0,7/27/1992,1,Pontia_occidentalis,Corfu_WA,Corfu.1992_2
4,26,SD,M,7,2.486808098,0,1,0,7/27/1992,1,Pontia_occidentalis,Corfu_WA,Corfu.1992_2
5,30,SD,M,7,NA,0,1,0,7/27/1992,1,Pontia_occidentalis,Corfu_WA,Corfu.1992_2
6,34,SD,M,7,2.585709659,0,1,0,7/27/1992,1,Pontia_occidentalis,Corfu_WA,Corfu.1992_2
7,27,SD,M,7,2.358439095,0,1,0,7/27/1992,1,Pontia_occidentalis,Corfu_WA,Corfu.1992_2
8,33,SD,F,7,NA,0,1,0,7/27/1992,1,Pontia_occidentalis,Corfu_WA,Corfu.1992_2
9,16,SD,M,7,2.616925093,0,1,0,7/27/1992,1,Pontia_occidentalis,Corfu_WA,Corfu.1992_2
10,14,SD,F,7,NA,0,1,0,7/27/1992,1,Pontia_occidentalis,Corfu_WA,Corfu.1992_2
11,18,SD,M,7,2.420562618,0,1,0,7/27/1992,1,Pontia_occidentalis,Corfu_WA,Corfu.1992_2
12,29,SD,F,7,2.327977815,0,1,0,7/27/1992,1,Pontia_occidentalis,Corfu_WA,Corfu.1992_2
13,35,SD,M,7,2.367891745,0,1,0,7/27/1992,1,Pontia_occidentalis,Corfu_WA,Corfu.1992_2
14,31,SD,F,7,2.386910854,0,1,0,7/27,1,Pontia_occidentalis,Corfu_WA,Corfu.1992_2
15,28,SD,M,7,2.440004784,0,1,0,7/27/1992,1,Pontia_occidentalis,Corfu_WA,Corfu.1992_2
