RECNUM,SPECIES,SITE,ID,SEX,TREAT,FWL,BUT_WT,WTDBUT_WT,REL_DATE,COND_0,RECAP_DATE,NRECAP,BEH,TIME,WEAR,NOTEBOOK
496,Pontia_occidentalis,Corfu_WA,136,F,CTL,2.5,83,82,1994-06-09,1,161,1,F,8,NA,Corfu.Weighted.1994
497,Pontia_occidentalis,Corfu_WA,138,F,CTL,2.4,90,91,1994-06-09,1,161,1,N,8,NA,Corfu.Weighted.1994
498,Pontia_occidentalis,Corfu_WA,138,F,CTL,2.4,90,91,1994-06-09,1,161,2,F,10,NA,Corfu.Weighted.1994
499,Pontia_occidentalis,Corfu_WA,138,F,CTL,2.4,90,91,1994-06-09,1,162,3,F,11.17,NA,Corfu.Weighted.1994
500,Pontia_occidentalis,Corfu_WA,138,F,CTL,2.4,90,91,1994-06-09,1,163,4,N,10.2,NA,Corfu.Weighted.1994
501,Pontia_occidentalis,Corfu_WA,138,F,CTL,2.4,90,91,1994-06-09,1,163,5,N,11,NA,Corfu.Weighted.1994
502,Pontia_occidentalis,Corfu_WA,138,F,CTL,2.4,90,91,1994-06-09,1,163,6,N,11,NA,Corfu.Weighted.1994
503,Pontia_occidentalis,Corfu_WA,138,F,CTL,2.4,90,91,1994-06-09,1,167,7,F,12.1,NA,Corfu.Weighted.1994
504,Pontia_occidentalis,Corfu_WA,139,F,WTD,2.4,58,67,1994-06-09,2,161,1,S,8.62,NA,Corfu.Weighted.1994
505,Pontia_occidentalis,Corfu_WA,139,F,WTD,2.4,58,67,1994-06-09,2,161,2,F,11.6,NA,Corfu.Weighted.1994
506,Pontia_occidentalis,Corfu_WA,140,F,CTL,2.3,70,68,1994-06-09,1,161,1,F,9.97,NA,Corfu.Weighted.1994
507,Pontia_occidentalis,Corfu_WA,143,F,WTD,2.5,87,104,1994-06-09,3,161,1,N,10.18,NA,Corfu.Weighted.1994
508,Pontia_occidentalis,Corfu_WA,147,F,WTD,2.4,72,90,1994-06-09,1,161,1,S,9.73,NA,Corfu.Weighted.1994
509,Pontia_occidentalis,Corfu_WA,149,F,WTD,2.4,72,53,1994-06-09,2,161,1,R,8.37,NA,Corfu.Weighted.1994
510,Pontia_occidentalis,Corfu_WA,149,F,WTD,2.4,72,53,1994-06-09,2,161,2,R,9.2,NA,Corfu.Weighted.1994
511,Pontia_occidentalis,Corfu_WA,150,F,CTL,2.5,86,85,1994-06-09,1,161,1,N,10.12,NA,Corfu.Weighted.1994
512,Pontia_occidentalis,Corfu_WA,152,M,CTL,2.3,61,54,1994-06-09,2,161,1,F,9.02,NA,Corfu.Weighted.1994
513,Pontia_occidentalis,Corfu_WA,153,M,WTD,2.2,84,93,1994-06-09,1,161,1,S,9.92,NA,Corfu.Weighted.1994
514,Pontia_occidentalis,Corfu_WA,158,M,CTL,2.4,87,80,1994-06-09,1,161,1,N,10.02,NA,Corfu.Weighted.1994
515,Pontia_occidentalis,Corfu_WA,160,M,CTL,2.2,53,50,1994-06-09,2,161,1,N,8.7,NA,Corfu.Weighted.1994
516,Pontia_occidentalis,Corfu_WA,160,M,CTL,2.2,53,50,1994-06-09,2,161,2,N,11.45,NA,Corfu.Weighted.1994
517,Pontia_occidentalis,Corfu_WA,160,M,CTL,2.2,53,50,1994-06-09,2,166,3,F,10.78,NA,Corfu.Weighted.1994
518,Pontia_occidentalis,Corfu_WA,162,M,CTL,2.4,69,63,1994-06-09,1,161,1,N,8.5,NA,Corfu.Weighted.1994
519,Pontia_occidentalis,Corfu_WA,162,M,CTL,2.4,69,63,1994-06-09,1,161,2,N,8.58,NA,Corfu.Weighted.1994
520,Pontia_occidentalis,Corfu_WA,164,M,CTL,2.4,70,65,1994-06-09,1,161,1,F,11.48,NA,Corfu.Weighted.1994
521,Pontia_occidentalis,Corfu_WA,168,M,CTL,2.4,79,74,1994-06-09,1,162,1,N,10,NA,Corfu.Weighted.1994
522,Pontia_occidentalis,Corfu_WA,172,M,CTL,2.5,74,72,1994-06-09,2,162,1,S,8.92,NA,Corfu.Weighted.1994
523,Pontia_occidentalis,Corfu_WA,178,M,CTL,2.5,77,92,1994-06-09,1,161,1,F,12.05,NA,Corfu.Weighted.1994
524,Pontia_occidentalis,Corfu_WA,178,M,CTL,2.5,77,92,1994-06-09,1,162,2,F,11.15,NA,Corfu.Weighted.1994
525,Pontia_occidentalis,Corfu_WA,178,M,CTL,2.5,77,92,1994-06-09,1,162,3,F,11.35,NA,Corfu.Weighted.1994
526,Pontia_occidentalis,Corfu_WA,178,M,CTL,2.5,77,92,1994-06-09,1,163,4,B,8.32,NA,Corfu.Weighted.1994
527,Pontia_occidentalis,Corfu_WA,178,M,CTL,2.5,77,92,1994-06-09,1,163,5,F,8.5,NA,Corfu.Weighted.1994
528,Pontia_occidentalis,Corfu_WA,178,M,CTL,2.5,77,92,1994-06-09,1,163,6,N,9,NA,Corfu.Weighted.1994
529,Pontia_occidentalis,Corfu_WA,178,M,CTL,2.5,77,92,1994-06-09,1,163,7,F,9.05,NA,Corfu.Weighted.1994
