"","SPECIES","SITE","ID","SEX","TREAT","FWL","REL_DATE","COND_0","RECAP_DATE","NRECAP","BEH","TIME","NOTEBOOK"
"1","Pontia_occidentalis","Corfu_WA",610,"M","Y",2.2,1993-07-08,"1","189",0,NA,NA,"Corfu.BY.1993_2"
"2","Pontia_occidentalis","Corfu_WA",510,"F","Y",2.6,1993-07-08,"3","189",0,NA,NA,"Corfu.BY.1993_2"
"3","Pontia_occidentalis","Corfu_WA",544,"M","Y",2.4,1993-07-08,"1","189",0,NA,NA,"Corfu.BY.1993_2"
"4","Pontia_occidentalis","Corfu_WA",512,"M","Y",2.3,1993-07-08,"1","189",0,NA,NA,"Corfu.BY.1993_2"
"5","Pontia_occidentalis","Corfu_WA",520,"F","Y",2.5,1993-07-08,"3","189",0,NA,NA,"Corfu.BY.1993_2"
"6","Pontia_occidentalis","Corfu_WA",628,"M","Y",2.5,1993-07-08,"4","189",0,NA,NA,"Corfu.BY.1993_2"
"7","Pontia_occidentalis","Corfu_WA",576,"M","Y",2.4,1993-07-08,"2","189",0,NA,NA,"Corfu.BY.1993_2"
"8","Pontia_occidentalis","Corfu_WA",516,"","",NA,1993-07-08,"","189",0,NA,NA,"Corfu.BY.1993_2"
"9","Pontia_occidentalis","Corfu_WA",538,"M","Y",2.5,1993-07-08,"2","189",0,NA,NA,"Corfu.BY.1993_2"
"10","Pontia_occidentalis","Corfu_WA",524,"M","Y",2.5,1993-07-08,"3","189",0,NA,NA,"Corfu.BY.1993_2"
"11","Pontia_occidentalis","Corfu_WA",522,"F","Y",2.4,1993-07-08,"1","189",0,NA,NA,"Corfu.BY.1993_2"
"12","Pontia_occidentalis","Corfu_WA",548,"F","Y",2.5,1993-07-08,"1","189",0,NA,NA,"Corfu.BY.1993_2"
"13","Pontia_occidentalis","Corfu_WA",540,"F","Y",2.7,1993-07-08,"2","189",0,NA,NA,"Corfu.BY.1993_2"
"14","Pontia_occidentalis","Corfu_WA",508,"M","Y",2.3,1993-07-08,"2","189",0,NA,NA,"Corfu.BY.1993_2"
"15","Pontia_occidentalis","Corfu_WA",504,"F","Y",2.3,1993-07-08,"3","189",0,NA,NA,"Corfu.BY.1993_2"
"16","Pontia_occidentalis","Corfu_WA",558,"F","Y",2.3,1993-07-08,"1","189",0,NA,NA,"Corfu.BY.1993_2"
"17","Pontia_occidentalis","Corfu_WA",534,"M","Y",2.5,1993-07-08,"3","189",0,NA,NA,"Corfu.BY.1993_2"
"18","Pontia_occidentalis","Corfu_WA",518,"M","Y",2.6,1993-07-08,"3","189",0,NA,NA,"Corfu.BY.1993_2"
"19","Pontia_occidentalis","Corfu_WA",536,"M","Y",2.7,1993-07-08,"1","189",0,NA,NA,"Corfu.BY.1993_2"
"20","Pontia_occidentalis","Corfu_WA",526,"F","Y",2.5,1993-07-08,"1","189",0,NA,NA,"Corfu.BY.1993_2"
"21","Pontia_occidentalis","Corfu_WA",532,"F","Y",2.2,1993-07-08,"2","189",0,NA,NA,"Corfu.BY.1993_2"
"22","Pontia_occidentalis","Corfu_WA",550,"M","Y",2.2,1993-07-08,"2","189",0,NA,NA,"Corfu.BY.1993_2"
"23","Pontia_occidentalis","Corfu_WA",546,"F","Y",2.4,1993-07-08,"2","189",0,NA,NA,"Corfu.BY.1993_2"
"24","Pontia_occidentalis","Corfu_WA",552,"M","Y",2.5,1993-07-08,"3","189",0,NA,NA,"Corfu.BY.1993_2"
"25","Pontia_occidentalis","Corfu_WA",596,"F","Y",2.4,1993-07-08,"2","189",0,NA,NA,"Corfu.BY.1993_2"
"26","Pontia_occidentalis","Corfu_WA",556,"M","Y",2.5,1993-07-08,"4","189",0,NA,NA,"Corfu.BY.1993_2"
"27","Pontia_occidentalis","Corfu_WA",598,"F","Y",2.6,1993-07-08,"4","189",0,NA,NA,"Corfu.BY.1993_2"
"28","Pontia_occidentalis","Corfu_WA",638,"M","Y",2.6,1993-07-08,"3","189",0,NA,NA,"Corfu.BY.1993_2"
"29","Pontia_occidentalis","Corfu_WA",630,"M","Y",2.2,1993-07-08,"1","189",0,NA,NA,"Corfu.BY.1993_2"
"30","Pontia_occidentalis","Corfu_WA",612,"M","Y",2.3,1993-07-08,"2","189",0,NA,NA,"Corfu.BY.1993_2"
"31","Pontia_occidentalis","Corfu_WA",616,"M","Y",2.1,1993-07-08,"3","189",0,NA,NA,"Corfu.BY.1993_2"
"32","Pontia_occidentalis","Corfu_WA",542,"M","Y",2.5,1993-07-08,"4","189",0,NA,NA,"Corfu.BY.1993_2"
"33","Pontia_occidentalis","Corfu_WA",602,"F","Y",2.1,1993-07-08,"3","189",0,NA,NA,"Corfu.BY.1993_2"
"34","Pontia_occidentalis","Corfu_WA",600,"M","Y",2.5,1993-07-08,"3","189",0,NA,NA,"Corfu.BY.1993_2"
"35","Pontia_occidentalis","Corfu_WA",618,"M","Y",2.3,1993-07-08,"2","189",0,NA,NA,"Corfu.BY.1993_2"
"36","Pontia_occidentalis","Corfu_WA",594,"F","Y",2.5,1993-07-08,"2","189",0,NA,NA,"Corfu.BY.1993_2"
"37","Pontia_occidentalis","Corfu_WA",568,"M","Y",2.4,1993-07-08,"1","189",0,NA,NA,"Corfu.BY.1993_2"
"38","Pontia_occidentalis","Corfu_WA",624,"M","Y",2.4,1993-07-08,"1","189",0,NA,NA,"Corfu.BY.1993_2"
"39","Pontia_occidentalis","Corfu_WA",620,"M","Y",2.6,1993-07-08,"3","189",0,NA,NA,"Corfu.BY.1993_2"
"40","Pontia_occidentalis","Corfu_WA",634,"M","Y",2.6,1993-07-08,"1","189",0,NA,NA,"Corfu.BY.1993_2"
"41","Pontia_occidentalis","Corfu_WA",562,"M","Y",2.3,1993-07-08,"2","189",0,NA,NA,"Corfu.BY.1993_2"
"42","Pontia_occidentalis","Corfu_WA",614,"F","Y",2.6,1993-07-08,"4","189",0,NA,NA,"Corfu.BY.1993_2"
"43","Pontia_occidentalis","Corfu_WA",606,"F","Y",2.6,1993-07-08,"1","189",0,NA,NA,"Corfu.BY.1993_2"
"44","Pontia_occidentalis","Corfu_WA",572,"M","Y",2.2,1993-07-08,"2","189",0,NA,NA,"Corfu.BY.1993_2"
"45","Pontia_occidentalis","Corfu_WA",586,"F","Y",2.4,1993-07-08,"2","189",0,NA,NA,"Corfu.BY.1993_2"
"46","Pontia_occidentalis","Corfu_WA",588,"","",NA,1993-07-08,"","189",0,NA,NA,"Corfu.BY.1993_2"
"47","Pontia_occidentalis","Corfu_WA",506,"","Y",NA,1993-07-08,"","189",0,NA,NA,"Corfu.BY.1993_2"
"48","Pontia_occidentalis","Corfu_WA",574,"M","Y",2.2,1993-07-08,"2","189",0,NA,NA,"Corfu.BY.1993_2"
"49","Pontia_occidentalis","Corfu_WA",530,"M","Y",2.4,1993-07-08,"3","189",0,NA,NA,"Corfu.BY.1993_2"
"50","Pontia_occidentalis","Corfu_WA",514,"","",NA,1993-07-08,"","189",0,NA,NA,"Corfu.BY.1993_2"
"51","Pontia_occidentalis","Corfu_WA",10576,"F","Y",2.6,1993-07-08,"3","189",0,NA,NA,"Corfu.BY.1993_2"
"52","Pontia_occidentalis","Corfu_WA",564,"F","Y",2.5,1993-07-08,"4","189",0,NA,NA,"Corfu.BY.1993_2"
"53","Pontia_occidentalis","Corfu_WA",560,"M","Y",2.4,1993-07-08,"4","189",0,NA,NA,"Corfu.BY.1993_2"
"54","Pontia_occidentalis","Corfu_WA",566,"M","Y",2.3,1993-07-08,"4","189",0,NA,NA,"Corfu.BY.1993_2"
"55","Pontia_occidentalis","Corfu_WA",578,"M","Y",2.3,1993-07-08,"2","189",0,NA,NA,"Corfu.BY.1993_2"
"56","Pontia_occidentalis","Corfu_WA",632,"F","Y",2.7,1993-07-08,"3","189",0,NA,NA,"Corfu.BY.1993_2"
"57","Pontia_occidentalis","Corfu_WA",604,"M","Y",2.5,1993-07-08,"2","189",0,NA,NA,"Corfu.BY.1993_2"
"58","Pontia_occidentalis","Corfu_WA",580,"F","Y",2.7,1993-07-08,"2","189",0,NA,NA,"Corfu.BY.1993_2"
"59","Pontia_occidentalis","Corfu_WA",636,"M","Y",2.2,1993-07-08,"2","189",0,NA,NA,"Corfu.BY.1993_2"
"60","Pontia_occidentalis","Corfu_WA",554,"M","Y",2.3,1993-07-08,"2","189",0,NA,NA,"Corfu.BY.1993_2"
"61","Pontia_occidentalis","Corfu_WA",584,"M","Y",2.3,1993-07-08,"1","189",0,NA,NA,"Corfu.BY.1993_2"
"62","Pontia_occidentalis","Corfu_WA",590,"M","Y",2.4,1993-07-08,"2","189",0,NA,NA,"Corfu.BY.1993_2"
"63","Pontia_occidentalis","Corfu_WA",582,"M","Y",2.2,1993-07-08,"2","189",0,NA,NA,"Corfu.BY.1993_2"
"64","Pontia_occidentalis","Corfu_WA",502,"F","Y",2.6,1993-07-08,"2","189",0,NA,NA,"Corfu.BY.1993_2"
"65","Pontia_occidentalis","Corfu_WA",528,"F","Y",2.7,1993-07-08,"3","189",0,NA,NA,"Corfu.BY.1993_2"
"66","Pontia_occidentalis","Corfu_WA",592,"","",NA,1993-07-08,"","189",0,NA,NA,"Corfu.BY.1993_2"
"67","Pontia_occidentalis","Corfu_WA",626,"M","Y",2.4,1993-07-08,"2","189",0,NA,NA,"Corfu.BY.1993_2"
"68","Pontia_occidentalis","Corfu_WA",608,"F","Y",2.1,1993-07-08,"2","189",0,NA,NA,"Corfu.BY.1993_2"
"69","Pontia_occidentalis","Corfu_WA",622,"M","Y",2.6,1993-07-08,"1","189",0,NA,NA,"Corfu.BY.1993_2"
"70","Pontia_occidentalis","Corfu_WA",633,"M","B",2.3,1993-07-08,"4","189",0,NA,NA,"Corfu.BY.1993_2"
"71","Pontia_occidentalis","Corfu_WA",505,"M","B",2.2,1993-07-08,"2","189",0,NA,NA,"Corfu.BY.1993_2"
"72","Pontia_occidentalis","Corfu_WA",569,"F","B",2.7,1993-07-08,"3","189",0,NA,NA,"Corfu.BY.1993_2"
"73","Pontia_occidentalis","Corfu_WA",507,"M","B",2.2,1993-07-08,"2","189",0,NA,NA,"Corfu.BY.1993_2"
