STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TMAX,TMIN,TOBS
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,3/6/91,47,32,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,3/7/91,52,32,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,3/8/91,55,31,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,3/9/91,56,33,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,3/10/91,54,37,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,3/11/91,55,28,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,3/12/91,48,37,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,3/13/91,49,28,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,3/14/91,52,32,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,3/15/91,51,27,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,3/16/91,54,28,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,3/17/91,56,27,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,3/18/91,58,27,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,3/19/91,57,38,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,3/20/91,50,34,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,3/21/91,58,30,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,3/22/91,60,37,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,3/23/91,53,34,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,3/24/91,52,41,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,3/25/91,44,29,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,3/26/91,48,30,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,3/27/91,55,35,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,3/28/91,58,33,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,3/29/91,59,33,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,3/30/91,66,38,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,3/31/91,69,44,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,4/1/91,69,42,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,4/2/91,70,35,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,4/3/91,60,38,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,4/4/91,56,50,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,4/5/91,62,53,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,4/6/91,64,32,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,4/7/91,58,36,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,4/8/91,58,30,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,4/9/91,52,39,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,4/10/91,51,28,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,4/11/91,52,31,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,4/12/91,65,35,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,4/13/91,66,34,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,4/14/91,68,38,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,4/15/91,62,37,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,4/16/91,59,42,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,4/17/91,63,36,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,4/18/91,63,39,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,4/19/91,68,35,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,4/20/91,71,40,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,4/21/91,74,43,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,4/22/91,76,43,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,4/23/91,74,41,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,4/24/91,70,48,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,4/25/91,62,32,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,4/26/91,60,32,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,4/27/91,58,36,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,4/28/91,62,32,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,4/29/91,62,42,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,4/30/91,63,41,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,5/1/91,62,40,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,5/2/91,56,45,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,5/3/91,65,43,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,5/4/91,70,50,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,5/5/91,68,44,
