"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TMAX","TMIN","TOBS"
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-03-04","60","42",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-03-05","47","31",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-03-06","47","32",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-03-07","52","32",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-03-08","55","31",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-03-09","56","33",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-03-10","54","37",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-03-11","55","28",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-03-12","48","37",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-03-13","49","28",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-03-14","52","32",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-03-15","51","27",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-03-16","54","28",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-03-17","56","27",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-03-18","58","27",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-03-19","57","38",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-03-20","50","34",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-03-21","58","30",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-03-22","60","37",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-03-23","53","34",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-03-24","52","41",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-03-25","44","29",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-03-26","48","30",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-03-27","55","35",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-03-28","58","33",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-03-29","59","33",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-03-30","66","38",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-03-31","69","44",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-04-01","69","42",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-04-02","70","35",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-04-03","60","38",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-04-04","56","50",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-04-05","62","53",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-04-06","64","32",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-04-07","58","36",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-04-08","58","30",
